seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_sec,red_roll_mean,red_roll_std,ir_roll_mean,ir_roll_std,red_diff,ir_diff,red_diff2,ir_diff2,signal_energy
15,135369,40558,100785,-53.58064584985831,-163.80219354667395,0.276,,,,,-16.691906324958964,-61.220206221186984,-17.548630090978,-70.11421163478494,29702.044220389973
16,135399,40558,100788,-51.30330384095476,-160.5006371523248,0.306,,,,,2.2773420089035454,3.3015563943491486,18.96924833386251,64.52176261553613,28392.483511299546
17,135409,40562,100759,-48.04163730469722,-188.575193785417,0.316,,,,,3.261666536257543,-28.074556633092214,0.9843245273539978,-31.376113027441363,37868.602626123655
18,135439,40553,100771,-56.57222288850344,-176.1500100642008,0.346,,,,,-8.530585583806221,12.4251837212162,-11.792252120063765,40.499740354308415,34229.24244816456
19,135459,40543,100725,-67.05595439709367,-221.08594965957155,0.366,,,,,-10.483731508590232,-44.93593959537074,-1.9531459247840104,-57.36112331658694,53375.49815697971
20,135479,40533,100716,-77.63519911360451,-228.5885708903238,0.386,,,,,-10.579244716510843,-7.502621230752254,-0.09551320792061091,37.433318364618486,58279.95888308961
21,135499,40551,100699,-57.82981089377272,-244.5222136956769,0.406,,,,,19.80538821983179,-15.933642805353088,30.384632936342634,-8.431021574600834,63135.40001864379
22,135519,40549,100700,-59.18389270573591,-242.83031338591823,0.426,,,,,-1.3540818119631837,1.6919003097586653,-21.159470031794974,17.625543115111753,62469.29425490732
23,135534,40547,100694,-61.76331121553145,-247.33882467086707,0.441,,,,,-2.579418509795545,-4.508511284948838,-1.2253366978323612,-6.200411594707504,64991.20080187252
24,135555,40535,100736,-73.45895470161709,-202.9894699805872,0.462,,,,,-11.695643486085636,44.34935469027988,-9.116224976290091,48.85786597522872,46600.94294885394
25,135575,40541,100723,-66.31687141542189,-215.67101986430148,0.482,,,,,7.142083286195202,-12.681549883714297,18.83772677228084,-57.03090457399418,50911.916243637526
26,135598,40540,100720,-66.70269270065776,-218.3370178133182,0.505,,,,,-0.38582128523587755,-2.665997949016713,-7.52790457143108,10.015551934697584,52120.30256113161
27,135613,40528,100714,-79.44016926905209,-222.8035093096001,0.52,,,,,-12.737476568394328,-4.46649149628189,-12.35165528315845,-1.8004935472651766,55952.14425416871
28,135633,40534,100721,-74.10642994820039,-213.56818430337887,0.54,,,,,5.333739320851706,9.235325006221217,18.071215889246034,13.701816502503107,51103.13230630954
29,135653,40539,100719,-66.60809665936492,-214.6678572184792,0.56,,,,,7.498333288835468,-1.0996729151003422,2.1645939679837625,-10.334997921321559,50518.927463356675
30,135681,40541,100718,-62.58130159239299,-215.44231963817123,0.588,,,,,4.026795066971928,-0.7744624196920142,-3.4715382218635398,0.3252104954083279,50331.812400073984
31,135691,40538,100704,-65.92413925662798,-228.3501849651626,0.598,,,,,-3.3428376642349917,-12.907865326991384,-7.36963273120692,-12.13340290729937,56489.799110351254
32,135711,40529,100716,-76.13414642931086,-214.60244044379863,0.618,,,,,-10.210007172682879,13.747744521363984,-6.867169508447887,26.65560984835537,51850.61569695388
33,135733,40543,100705,-61.324915196105934,-224.8006624684936,0.64,,,,,14.809231233204926,-10.198222024694985,25.019238405887805,-23.94596654605897,54296.08307008318
34,135757,40535,100704,-67.82392587353853,-224.11627814386844,0.664,,,,,-6.499010677432594,0.6843843246251708,-21.30824191063752,10.882606349320156,54828.19104995905
